Designator,Mid X,Mid Y,Rotation,Layer
,161.9625,-78.7875,0.0,top
AE1,144.0,-75.5,90.0,top
BT1,192.5,-94.37,270.0,bottom
C1,150.75,-80.25,90.0,top
C10,164.25,-73.5,180.0,top
C11,164.750001,-71.0,180.0,top
C12,167.250001,-71.0,0.0,top
C13,167.250001,-73.5,0.0,top
C14,167.250001,-72.25,0.0,top
C15,188.775,-69.0,180.0,top
C16,195.5,-80.0,90.0,top
C17,188.5,-75.62,315.0,top
C18,191.807563,-60.930329,0.0,top
C2,154.409011,-83.479721,225.0,top
C3,157.590991,-86.661701,45.0,top
C4,152.25,-80.25,90.0,top
C5,167.4625,-81.5375,90.0,top
C6,156.4625,-80.2875,270.0,top
C7,165.4625,-84.5375,180.0,top
C8,168.0,-76.0,180.0,top
C9,164.750001,-72.25,180.0,top
D1,143.25,-107.750001,270.0,top
D2,143.249999,-104.750001,90.0,top
J1,146.0,-97.25,270.0,top
J2,193.75,-47.945,180.0,top
J3,175.8125,-76.925,90.0,top
J4,175.8125,-89.175,90.0,top
J5,167.5,-47.945,180.0,top
L1,151.5,-78.5,0.0,top
L2,187.75,-79.37,270.0,top
Q1,162.9625,-93.7875,90.0,top
Q10,165.0,-57.0,270.0,top
Q11,162.5,-53.0,270.0,top
Q12,160.0,-57.0,270.0,top
Q13,157.5,-53.0,270.0,top
Q14,155.0,-57.0,270.0,top
Q15,152.5,-53.0,270.0,top
Q16,150.0,-57.0,270.0,top
Q2,193.499999,-68.624999,270.0,top
Q3,182.5,-53.0,270.0,top
Q4,180.0,-57.0,270.0,top
Q5,177.5,-53.0,270.0,top
Q6,175.0,-57.0,270.0,top
Q7,172.5,-53.0,270.0,top
Q8,170.0,-57.0,270.0,top
Q9,167.5,-53.0,270.0,top
R1,153.5,-99.75,270.0,top
R10,159.2125,-90.725,180.0,top
R11,194.557563,-60.930329,180.0,top
R12,196.549999,-64.894999,270.0,top
R13,181.5,-62.5,90.0,top
R14,179.0,-62.5,90.0,top
R15,176.5,-62.5,90.0,top
R16,174.0,-62.5,90.0,top
R17,171.5,-62.5,90.0,top
R18,169.0,-62.5,90.0,top
R19,166.5,-62.5,90.0,top
R2,153.5,-95.0,90.0,top
R20,164.0,-62.5,90.0,top
R21,161.5,-62.5,90.0,top
R22,159.0,-62.5,90.0,top
R23,156.5,-62.5,90.0,top
R24,154.0,-62.5,90.0,top
R25,151.5,-62.5,90.0,top
R26,149.0,-62.5,90.0,top
R3,146.5,-108.500001,180.0,top
R4,146.5,-104.0,180.0,top
R5,163.712499,-89.7875,270.0,top
R6,185.75,-69.0,0.0,top
R7,191.25,-76.37,0.0,top
R8,193.25,-76.37,0.0,top
R9,161.2125,-90.725,180.0,top
U1,161.9625,-78.7875,180.0,top
U2,187.0,-63.5,0.0,top
U3,192.25,-79.37,0.0,top
U4,193.5,-64.0,270.0,top
Y1,156.0,-85.0,135.0,top
